Person|University|classYear
7363|45|2004
2783|6|1984
7799|47|1984
4851|49|1962
6635|4|1992
5957|49|1989
7801|60|1965
7963|41|1965
6402|23|1993
7801|9|1988
1359|6|1974
7801|12|1986
7802|42|1966
7802|10|1997
7805|49|2005
6899|43|1960
7806|57|1992
6839|40|1976
6537|33|2007
4135|44|2000
7808|3|1990
8853|11|1965
7082|46|1990
5696|23|1998
7808|57|1971
68|60|1997
4579|44|1996
888|29|1974
7810|4|1984
565|24|1967
743|6|1974
8021|23|1975
5717|59|1998
7775|48|2000
7811|33|1998
7811|39|1974
3578|37|1988
7812|13|1970
5186|34|1967
6912|26|1995
4396|47|1963
1999|40|2003
7813|9|1982
6394|37|1998
2868|54|2006
9762|31|1991
7397|59|1979
6922|17|2007
7553|17|2003
7803|42|1963
7819|28|1970
7819|21|2003
6668|32|1996
2530|54|1961
7819|1|2001
425|33|1972
6387|18|1966
6592|20|1964
5869|9|1966
7157|41|1986
3979|48|1973
7364|27|1962
8600|12|1979
5151|49|1993
7821|21|1985
6550|16|1975
7446|14|1999
1575|58|1999
7664|38|1967
1157|14|1997
8578|36|1966
7824|16|1980
4256|13|1968
7780|51|2003
9957|35|1993
6845|22|1984
1010|5|1981
9342|58|1977
7745|20|1981
7827|12|1990
7827|25|1987
5818|31|1985
3272|41|1986
7829|46|1966
2067|61|1970
6936|48|1973
6567|48|1997
1925|61|1979
7829|57|1985
3594|51|2000
7830|49|1993
7831|62|1992
7831|35|1999
8737|46|1996
6369|30|2002
5101|25|1987
7832|51|1986
3315|32|1990
6941|51|1991
99|19|1962
1244|22|1968
6444|41|1993
7570|33|1993
7834|0|1973
5847|62|1980
7835|49|1963
2678|30|1969
7757|60|2004
9500|54|2007
6391|49|2007
6714|20|1977
105|36|1966
1849|4|1990
7835|41|1967
5392|32|1968
6235|31|1983
1208|27|2006
6252|30|1987
642|57|1969
5318|52|1972
7206|43|2006
1258|3|2006
7836|47|1999
1998|55|1960
7838|41|1986
4523|42|1973
6849|59|2003
7842|47|2003
1236|17|1993
8164|50|1963
7842|10|1997
3369|41|1966
7843|49|1993
789|24|1978
7844|16|1995
1697|9|1967
5923|61|1997
7401|8|1982
6435|52|1968
8990|21|1983
2523|49|1998
7844|19|1973
7844|44|1982
7460|16|1961
8455|19|2002
5300|5|1976
22|31|1997
7845|40|1982
5436|22|1995
2927|44|1966
7845|47|1994
7846|1|1967
2329|29|1980
7846|18|1970
8885|39|1966
3907|3|1966
7846|47|1967
2060|22|1971
7847|5|1964
6499|43|1965
6465|13|1962
4632|45|1968
4541|31|2001
6761|27|1995
9094|4|1987
5828|24|1969
7849|42|2000
2687|59|1964
6937|46|1981
7850|5|1981
7850|47|1983
3623|4|1963
7850|26|1963
3814|25|1991
8309|14|2001
8055|37|2002
7853|6|1980
7459|50|2000
9543|17|1984
7855|52|1994
9584|46|1961
9185|26|2001
6344|55|1973
1782|49|1985
8829|23|1960
2271|62|1964
9790|57|1964
7862|10|1988
8176|40|1990
2094|42|1980
7568|10|2000
7868|41|1976
7471|51|1989
6259|31|1999
4641|3|2006
8392|4|1995
9306|5|1971
5090|17|1968
9249|61|2001
1146|46|1992
1619|7|1971
7729|43|1983
7867|35|1998
5004|23|1988
9046|28|2007
7868|46|1965
697|57|2002
3433|19|1974
6574|24|1972
3489|15|1985
7868|12|1963
8761|56|1975
7698|30|1964
7835|18|1994
8717|48|1961
7870|41|1983
7870|48|1989
6314|57|1996
7373|9|1994
8559|0|1983
7872|1|1967
5603|4|1968
7872|40|1973
2664|57|2000
734|28|1986
7873|39|1976
7873|45|2001
7957|57|1992
1385|27|1982
7597|8|1976
3927|35|1983
1520|36|1988
2936|23|1983
7878|40|1989
7878|27|1985
7879|0|1965
7880|27|1996
9997|34|2006
7881|5|2005
7881|46|1990
7881|20|1989
7883|33|1978
4928|33|1972
7883|19|1964
6500|11|2003
2727|8|1966
7884|58|1975
7885|25|2000
744|38|1982
5462|18|1973
7539|16|1965
8665|32|2007
5492|7|1992
9579|7|1989
337|26|1964
2600|16|1984
7885|58|1989
6729|48|1971
7298|56|1990
7641|41|1962
7887|8|2005
7653|23|1987
8721|41|1969
6421|7|1966
7889|30|1973
4878|26|1986
6202|12|1984
5575|8|1996
6975|2|1974
6896|52|2006
8042|8|1997
7893|47|1963
387|36|1994
6360|19|2000
8674|40|1985
7444|46|1968
2589|28|2006
6346|56|1977
9786|60|2007
5020|53|1995
7556|11|1986
7894|5|1981
2034|54|1971
8290|54|1994
7895|43|1967
7251|4|1973
2398|57|1992
6882|37|1978
7895|55|1988
6876|27|1971
5981|58|1965
7896|20|2002
7898|33|1991
8043|48|2005
3909|39|1966
9765|2|1997
6724|36|1979
8980|53|2005
2901|23|1973
7900|30|1988
1475|1|1961
8602|60|2001
3866|23|1995
6627|31|1960
7901|24|1982
7820|62|1982
9841|8|2003
7902|35|1990
5416|41|1993
7904|42|2005
5917|6|1978
4392|46|2002
3124|52|1996
7028|8|1993
7725|60|1999
5329|6|1962
3067|30|1989
7905|56|1980
6423|4|1976
9771|30|2000
4806|43|1969
7906|41|1994
9322|42|1994
5265|35|1984
7906|36|1987
7907|61|1995
9244|32|1987
68|19|1974
4321|15|1964
3447|36|1975
7807|30|1973
2231|11|1960
6519|34|1998
4074|56|2002
6657|43|1976
7558|18|2003
7066|14|1981
4159|34|1984
7910|16|1974
7913|55|1973
6326|11|1985
3560|47|1986
7914|27|2006
7827|5|1991
7917|25|1992
3163|39|1980
6247|62|1998
7413|38|1976
7918|59|1976
7035|19|1969
1179|48|1998
7919|60|1997
7919|59|1979
7919|35|1982
8813|34|1970
7228|61|1990
6661|7|2006
4685|50|1983
7919|19|1977
7074|22|1971
7920|17|2004
7178|14|2003
2398|51|1993
7920|38|1991
198|58|1979
7922|5|1994
9000|20|1969
6787|35|1980
7888|36|1990
7923|10|1981
4300|40|1991
7924|29|1996
7924|0|1999
6934|12|1966
6302|43|2006
7614|42|1976
7924|13|1966
7926|23|1961
3667|16|1981
8065|55|2005
8198|13|2003
4770|7|2006
7768|44|1968
7933|53|1963
1623|39|1987
3711|2|1997
7745|51|1998
7934|57|2002
7556|56|1960
3645|47|2005
7934|19|1988
6617|58|1977
8252|43|1992
4626|38|1968
596|23|2003
5497|45|1998
7936|11|1980
6385|15|1991
6132|2|1991
7936|58|1967
6846|21|1999
1684|30|2005
8044|33|1978
7939|51|1999
9867|29|1981
7939|55|1982
2867|27|2004
3364|10|2004
7298|11|1961
7868|33|1992
3158|9|1997
7941|18|1976
1535|2|1975
6434|48|1998
549|23|1997
5730|55|1964
6863|16|1988
6971|49|1980
5058|9|1960
7942|7|1978
6381|8|2002
7942|35|2004
5557|55|2006
7943|6|1982
9092|23|1969
7943|59|1979
2811|54|1980
7946|0|1979
7947|27|1996
9726|25|1965
418|19|1985
7353|21|1985
7948|7|1966
7949|37|2002
7949|12|2004
7949|2|1961
3831|42|1984
2594|54|1992
8738|7|1961
8797|55|1979
3457|53|1984
7952|49|1995
4266|48|1986
1127|38|1985
6497|50|1970
8768|14|1983
7952|58|1962
7239|25|1981
7341|14|1970
3092|55|1982
7952|59|1968
4312|0|1986
4026|17|1998
7952|35|1980
8804|3|2007
7223|6|1999
7953|18|1991
7954|27|1981
8102|17|1972
1355|14|1990
7955|31|1979
4365|6|1977
3137|27|1982
7644|23|2006
7956|39|1983
8525|16|1973
3438|58|1967
647|20|1971
1301|56|2007
7259|9|1984
4161|56|1997
8489|47|1963
5955|36|1997
7168|53|1988
3194|47|1995
1740|52|1995
5497|61|1991
3383|26|1983
2733|21|1983
318|38|1985
7296|17|1981
7958|2|2007
8070|32|1986
4556|8|1993
7056|12|1966
7111|50|1971
4413|45|1983
7959|36|1996
7960|56|1968
5302|12|1978
7960|0|1976
933|2|2004
8119|56|2003
7962|36|1981
1891|37|1975
7622|61|1975
7100|9|1975
5927|34|1975
430|58|1975
7962|30|1997
7962|1|1990
2162|17|1980
8139|61|2006
4124|56|1978
7964|13|1977
7967|43|1978
7293|27|1994
2159|28|1960
7970|15|1979
8381|57|1973
7798|27|1985
9000|26|2003
7970|20|1971
7970|7|1962
7233|24|1990
7977|48|2004
4553|11|1980
7971|7|1973
3958|20|2003
7354|46|1992
7971|21|1988
158|8|2004
3536|61|1968
7670|24|1970
7964|38|1998
7973|52|1997
727|58|1970
6894|25|1974
5050|20|2004
7976|42|1970
6132|22|1994
4509|39|1988
7225|16|1974
5584|17|1970
7976|2|1989
6785|8|1983
7983|25|1972
7196|12|1980
7838|33|1964
6889|39|1969
1819|28|1986
7984|56|1968
7587|43|1994
3600|48|1978
2725|16|2004
7986|25|1985
7988|13|1971
7989|33|1966
6828|1|2003
6197|48|1979
9008|43|1983
8445|61|1977
5841|62|1970
7193|42|1984
7214|54|1996
7994|8|1979
5600|32|1988
7996|0|1992
7996|53|2001
7158|2|1989
7173|28|1968
7998|4|1993
7999|11|1970
9243|24|1982
6819|27|1998
7726|6|1964
4973|45|1969
2628|5|2004
700|31|1985
7131|31|1979
9198|35|1961
8001|36|1995
3042|21|1998
8002|36|1985
5835|23|1987
5674|5|1994
8463|53|2004
7986|47|1968
8002|39|1977
8869|23|1977
2120|11|1987
8006|26|1998
5456|48|1977
8006|4|1999
9171|2|1993
4203|24|1998
3226|20|1978
8007|54|2004
2355|14|1964
4592|61|2007
6629|2|1967
7830|30|1971
3765|55|1976
3681|41|2001
8312|34|2002
3761|32|2004
8009|2|2003
6709|59|1975
5338|18|1983
7267|8|1994
1049|3|1978
4583|21|1970
4130|49|1999
2839|5|2001
9869|28|1961
8011|56|1982
9674|3|1990
2467|15|1991
5192|27|1989
9119|29|2006
8012|44|1982
6564|19|1970
6360|2|1996
8986|0|1986
2280|41|2001
7890|5|1992
8012|59|1972
2171|28|1969
6579|39|2002
8926|32|1990
4448|15|1994
6608|3|1968
8014|12|1961
9292|17|1965
928|23|1984
6910|3|1978
9575|34|1984
7755|21|2003
1860|47|1996
8204|51|1964
8014|14|2000
9311|4|1974
6408|2|1964
4760|43|1972
2625|51|1990
5327|32|1980
8015|5|1961
8015|25|1991
4587|30|1976
6481|22|1992
6025|27|1984
6423|3|2002
197|26|1964
9121|61|2005
8021|53|1988
4149|9|1998
6944|11|1985
4108|39|1965
6343|32|2002
5593|14|2007
3836|14|2003
4745|49|1990
8022|21|1982
2151|20|1992
8022|35|1991
6768|60|1970
6857|43|1992
3194|1|1974
2581|40|1986
9913|27|2002
9930|18|1992
4871|22|1962
9815|5|1961
5496|27|1980
1968|4|1980
8025|21|1992
5982|25|1976
3204|43|1967
2889|58|1996
6782|15|1996
7019|17|1973
2468|45|2001
8026|29|1994
7627|35|1994
8026|38|1964
2766|16|1990
6475|38|2002
7515|44|1964
1131|13|1964
5790|53|1990
8027|55|1980
9930|22|1985
6076|51|1975
7713|2|2004
8027|13|1978
6435|15|1963
7253|4|1984
8030|25|1976
4070|6|1987
6264|21|2002
1362|30|1990
1428|42|1996
9335|14|2001
8030|36|2007
5972|6|1974
5721|30|1985
676|48|1988
8031|35|1973
7398|21|1970
8031|52|1994
6582|11|1991
6706|5|1986
1313|28|1971
7256|0|1990
8031|3|1977
3601|41|2004
2060|0|1991
2849|30|1987
8105|32|2007
8034|15|1999
6957|41|1968
8035|38|2002
8278|38|1979
3764|15|1974
8039|43|1970
6974|32|1982
3713|62|1983
852|33|1992
8041|60|1965
6675|16|1983
9931|16|1970
1837|14|2002
4010|26|1991
6671|57|1994
8045|45|1980
5904|38|1981
5017|47|1992
4117|31|1990
1343|53|1962
3535|52|1961
7439|2|2002
8047|28|2001
7302|15|1981
8048|2|1997
2434|2|1972
8048|62|2000
5094|1|2007
4964|52|1998
1039|38|1976
1434|51|1981
5721|61|2000
8051|57|2000
5064|46|1975
8051|8|1981
9637|33|1967
9497|4|1965
8051|29|1998
5542|11|1997
8051|7|2006
6343|3|1996
8051|54|1969
3791|35|1979
8053|62|1994
4436|41|1992
6813|50|1977
4809|20|1986
288|59|1974
3471|30|1966
4306|45|2004
3817|59|2001
8057|28|1985
6409|30|1996
7781|13|1993
261|52|1991
8058|47|1970
6326|58|1991
8060|29|1986
7485|60|2003
86|11|1962
2751|32|1997
1204|35|1989
8063|32|1968
6898|17|1994
1578|35|1979
3384|20|1997
8064|29|1970
8066|56|1986
8066|42|2007
991|29|1995
3368|6|2002
6211|12|1974
997|21|1967
8068|38|2005
3133|28|1995
1951|13|1978
6815|2|1981
4368|9|1989
8068|31|1994
7464|43|1976
3265|6|1974
7225|56|1977
3163|30|2006
5644|26|1972
1324|36|2003
7901|37|1977
4527|4|2004
8071|0|1966
8073|58|1982
6779|57|1986
7648|46|1965
8073|55|1985
8073|3|1989
8074|54|1979
5376|12|1981
8076|57|1962
153|52|1990
8076|37|2004
1692|14|2005
6611|62|1986
6736|3|1985
3700|9|1992
8076|3|1993
5957|12|2003
5847|56|2007
81|9|2001
1916|24|1982
8078|58|1974
7826|6|1964
8080|28|1995
2398|4|1965
7096|11|1964
8082|62|1988
8551|9|1970
3490|22|1963
3768|57|1978
8191|44|2003
6609|29|1963
8508|22|1975
558|19|2001
5447|43|1977
2195|9|1987
7466|31|1985
8090|0|2005
8093|16|1997
7212|0|1977
6940|14|1972
2344|43|1998
3385|19|1969
8094|42|1990
5577|46|1989
8009|11|1985
3215|61|1977
8098|39|1966
531|36|1990
2170|48|2002
6794|0|1989
7807|11|1993
8098|49|1995
7303|57|2006
7464|50|1996
8099|53|1998
8099|20|1965
9654|61|2002
7985|48|1996
8100|6|2003
5183|58|1989
8102|52|2000
7141|8|1997
6687|59|1980
8104|49|2007
3430|60|1982
2725|11|1964
1251|10|1995
6272|41|1962
7423|33|1992
8213|28|1990
3535|47|1968
9764|52|1980
2115|18|1967
2885|37|2002
9110|56|1975
8326|25|1998
2609|9|1991
9114|24|1962
1503|9|1960
6956|41|1968
159|46|1973
8361|44|1989
301|58|1985
5245|1|2005
9117|43|2004
9118|24|1962
8285|55|1960
513|58|1985
9482|24|1994
7666|44|2005
5375|9|1997
7921|2|1990
2815|8|1969
9120|5|1978
9520|52|1977
2572|3|1976
1830|45|2006
1912|38|1996
9122|40|1962
7991|18|1964
6190|34|1969
9125|60|2002
2659|30|1966
9794|25|1999
1261|43|1977
6950|12|1995
852|4|1975
6179|6|1993
9127|33|1979
7306|48|1972
6975|52|1994
9983|9|1991
2374|9|1969
7505|36|1975
1134|23|1978
4538|55|1991
7004|60|2007
4311|57|2007
9130|11|1986
9130|31|1977
5792|18|1977
8548|22|1984
9131|61|1984
9685|16|1995
6621|58|1980
9135|21|1978
267|36|1960
3563|3|1994
6846|16|1991
716|4|1979
9136|6|1966
5452|45|1963
3676|38|1966
8188|6|1961
8162|24|1994
8047|51|1994
6943|31|2007
1650|5|1969
7417|4|1995
7663|53|1984
6373|56|1995
6447|54|1969
8906|56|1966
9321|42|1987
6793|8|1998
9693|34|1971
6099|33|2007
7200|3|1968
9137|5|1970
1672|4|1994
5426|1|2003
11|48|1963
8882|60|1985
9581|43|1976
8102|2|1989
2183|19|1969
8889|42|2000
9143|57|1967
6019|47|1995
3487|61|1976
1478|53|1980
9400|20|1982
3096|62|1968
3820|16|1969
9148|48|1966
6410|61|1992
5183|12|1998
9825|4|2000
7433|10|1977
6190|55|2004
9154|20|1995
514|56|1973
7160|44|2001
3239|48|1983
9156|7|1993
1194|20|2005
4875|9|2004
2420|14|1970
689|36|1996
2033|54|1965
6792|35|1975
1107|38|1988
5562|34|2001
1411|26|1991
9159|56|1965
4374|55|1984
3495|22|2006
9307|47|2002
861|22|1980
8011|17|1998
8410|33|1977
9160|0|1971
6530|9|1981
4722|57|1986
9161|37|1961
8427|40|1974
9845|30|1980
3747|51|2001
9736|30|1975
9869|22|2005
9771|53|1999
8917|52|1991
7822|18|2001
6959|23|2002
7381|30|1974
3560|33|1995
3285|3|1975
9167|26|2007
6948|38|1963
2655|10|1963
9174|60|1977
9177|50|1966
8848|61|2000
8920|17|1964
4092|37|2006
7544|0|1965
4227|14|1968
7879|48|1993
7013|59|1968
8486|41|1963
8822|54|1992
5426|54|1971
9562|0|1963
2097|1|1963
9188|28|1992
9127|55|1990
8672|28|1962
22|12|1984
1369|18|2007
8428|12|1986
7089|38|1961
7102|62|1992
9198|21|1960
856|53|1998
9199|26|1992
6626|36|1982
5875|27|1975
7215|54|2003
874|7|1974
8257|39|1976
7190|22|1993
9200|17|1977
7234|55|2004
2846|49|2000
9941|21|1985
8404|18|1969
3390|3|2001
9202|35|1961
9172|4|1977
6733|33|1996
7540|52|2005
3930|45|1976
6474|49|1993
6805|7|1993
8470|36|1989
6074|44|1964
806|7|1993
4084|37|1998
3976|24|1987
2989|3|1967
9158|19|1979
2883|4|1979
9208|36|1995
4303|45|1993
2162|58|1986
9208|29|1977
8754|51|2000
292|58|1979
9210|33|1974
8697|5|1969
7827|41|1962
8839|46|1994
7225|11|1993
9212|2|1964
1669|15|2005
2658|31|1978
9351|15|1968
665|45|1962
3678|39|1992
6746|18|1993
8105|43|1974
8265|33|1999
1599|17|1964
3844|35|1973
9214|31|1988
9220|36|1993
7616|25|2002
5599|30|1975
5492|41|1975
9227|32|1975
2000|34|2002
3410|14|1987
3976|27|1990
6563|50|1988
7416|38|1967
6310|61|1963
9229|25|1988
4588|7|1965
7790|40|1985
9276|19|1961
5553|5|1973
9239|27|1996
2907|4|1980
7200|14|1981
1853|54|1990
2783|45|1972
6793|7|1982
8037|45|1998
5849|32|1999
8096|38|1961
1840|12|1999
9247|55|1979
9247|47|2001
6505|62|1963
1552|28|1995
6516|1|1969
5895|38|1962
9248|28|1960
3426|52|2003
6980|17|1993
9438|48|1976
8049|9|1984
7129|12|1999
4546|26|1988
3579|21|1984
8023|18|1967
5996|8|1991
898|45|2002
7118|33|1992
9406|45|1992
6673|1|1988
9196|40|1997
6788|21|1996
8751|43|1970
3450|55|1992
7894|33|1998
8759|36|1967
9154|23|2003
4363|29|1996
9110|24|1989
8232|57|1963
4231|14|1986
9253|51|2003
8322|6|1969
6951|10|1978
6140|55|1990
4116|23|2004
9255|60|1991
6875|25|2000
2711|22|1985
6819|3|1983
8937|26|2000
6799|53|1967
9173|6|1965
7646|54|1961
5256|47|1966
4122|57|1968
3775|3|1982
8127|6|2000
580|37|1970
7552|40|1969
8462|62|1967
7289|33|2000
4933|20|1964
2212|35|2006
4902|46|1991
9257|21|1975
9258|24|1997
9259|4|1993
7975|42|2005
106|36|1980
9260|11|1997
4326|2|1984
218|46|1976
3084|37|2004
749|15|2004
9261|40|1978
8295|39|1979
6938|3|1994
9699|25|2001
3813|8|1997
6820|15|1985
8345|32|2001
111|52|1990
9012|27|1966
8112|15|1999
7653|58|1960
6340|57|1995
8669|55|1966
3796|55|2005
1379|58|1973
8502|42|1975
9264|40|1999
9098|5|1989
2947|53|1989
9264|29|2007
9860|61|1971
6025|25|1997
9265|28|1967
3062|10|1960
8567|24|1964
8796|52|1967
426|6|1985
8008|46|1994
7426|58|1966
9266|0|1996
6083|22|1975
7035|22|1975
6495|13|1979
7030|28|1971
8893|48|1977
8394|26|1980
6867|9|1965
8022|14|1962
9266|45|1977
9122|23|1967
3902|53|1962
6784|1|1985
2825|45|1996
7437|50|1989
9268|31|1984
9104|6|1979
5398|17|1975
4093|53|1982
2566|25|1997
9705|28|1960
1188|38|1967
2245|52|1974
9375|19|1976
7198|21|1997
6657|45|1991
203|45|1989
6592|62|1975
6028|29|1971
8927|17|1974
9272|58|1974
4087|40|1993
9275|4|1999
2572|48|1962
8625|56|1989
9275|12|1991
9242|55|1990
6319|39|1994
9102|42|2006
3838|34|2000
9006|55|1993
6206|35|2004
9275|29|1996
9119|0|1998
6689|11|1976
6811|36|1983
8811|17|1999
9278|44|1991
4199|62|1993
7958|32|1971
9302|0|1995
9278|42|1984
9279|21|1965
2787|51|1975
2097|4|1995
9986|36|1976
9540|30|1991
1729|0|1991
3770|24|1978
9611|61|1990
6434|51|2000
8721|14|1978
8775|54|1998
9279|54|1996
6417|62|1988
9279|55|1965
5348|6|1976
9098|52|2000
8062|5|1980
8922|16|1966
7208|34|1974
4067|55|1995
7506|51|1967
3839|15|1968
9715|46|1989
8977|39|1966
545|39|1983
7908|5|1971
3117|39|1995
7408|30|1974
9281|30|2003
3681|52|1990
9285|13|1997
7739|0|1984
9286|1|1995
9780|1|1966
9298|49|1986
6771|53|1993
8210|49|1988
6379|62|1983
5193|40|1981
67|12|1977
3873|62|1976
9039|42|1978
3774|16|1986
7149|55|2002
9573|60|1988
7668|57|1991
8614|18|1965
9381|10|2001
9157|27|1969
605|62|1965
6624|10|1994
9830|26|1961
6758|56|2000
904|22|1972
7866|28|1972
8589|60|1962
821|8|1960
7933|21|1980
1645|58|1975
8808|34|1985
46|60|2000
5136|50|1979
9303|51|2006
8795|38|1978
5485|60|2007
5079|43|1988
924|12|2001
8208|29|1993
9133|47|2006
5972|15|1989
4822|13|1974
1592|46|1977
2509|62|1965
8050|35|1993
7592|30|1980
4594|27|1975
5732|57|1965
4136|48|1986
2728|4|1961
6403|40|1971
8293|30|1962
7439|23|1981
7650|50|1964
9314|13|1964
6497|25|1972
3137|13|1996
90|12|1965
6703|47|1989
2377|28|1988
9319|16|2000
4424|17|1965
7143|45|1966
8872|28|1986
8589|25|1989
1283|20|1992
9188|51|1985
9320|5|2006
8615|46|2002
8073|47|1982
8702|53|1960
3260|51|2006
4623|23|1992
8120|16|2000
5462|4|1997
692|32|1977
8734|29|1988
4329|40|1968
6377|60|1973
4824|47|1996
9835|44|1985
1837|5|1981
3638|32|1991
9522|10|2000
3638|58|2001
9212|1|1992
7418|22|1985
3520|14|1986
8379|9|1974
9324|50|1989
9327|24|2004
9602|14|2006
9329|45|1970
4570|36|1994
6533|23|1993
9329|21|1987
9331|61|2007
5789|38|1994
5526|16|1969
5257|6|1991
9653|17|1977
8685|1|1984
6123|56|1970
660|48|1984
6375|45|2003
9558|13|1960
3140|46|1990
9333|23|1987
3599|30|1970
6307|35|1997
8607|54|1971
7905|20|1979
3472|28|1977
8695|32|1962
8562|39|1999
361|5|1982
8612|46|1979
3006|18|1999
5829|33|1975
3045|2|1978
9584|2|2007
6500|40|1967
8511|48|1961
6900|54|1977
9593|32|2007
9295|18|1994
5860|36|2002
703|33|1976
3256|50|1986
7088|26|1964
6256|56|1961
9336|40|2002
9268|19|1991
9250|48|1992
8936|43|1970
2771|13|1999
7367|28|1977
5929|52|1983
3882|58|1997
1200|31|1999
9337|39|1971
7153|61|1994
8886|9|1971
1733|24|1972
8928|55|1985
9339|16|1990
136|11|1976
8965|10|2007
9438|18|1968
9202|56|1969
7821|45|1960
8865|3|2000
2063|17|1999
9143|52|1973
9236|52|1992
9428|25|1960
6471|42|1993
1324|61|1963
7456|56|1990
480|46|1969
8713|37|2007
9607|0|1987
9679|52|1976
4974|6|1979
7123|10|1987
8584|13|1976
9745|50|1995
4912|21|2007
6723|54|1974
778|19|1963
4768|33|1972
9344|37|1987
9467|25|1984
5089|22|1964
5808|23|1965
7191|19|1971
7839|29|1990
1091|45|1979
4464|7|2002
8725|55|1974
2053|59|1984
9185|46|1982
9761|51|1963
8693|35|1969
9184|5|1997
5301|20|1973
9354|39|1985
6152|51|1983
9523|14|2005
2833|40|1983
8797|36|1962
441|15|1980
8263|55|1990
7912|6|1980
8819|16|1971
2239|24|1962
7531|0|2002
6678|51|1963
6739|33|1977
9359|24|1975
9359|21|1965
8402|36|1960
2313|7|1967
7920|26|1969
8477|38|1969
2721|49|1972
7865|39|1976
7109|22|2007
9851|26|1979
9411|23|2004
6265|61|1964
9360|37|1995
2182|59|2001
8678|18|1970
9362|28|1962
8446|16|1974
3874|23|1999
9365|10|1990
9621|29|1967
4741|45|1965
1618|49|1970
7537|38|1980
8290|60|2005
5381|13|1999
1913|15|1974
9835|7|1989
7574|36|2002
9406|11|2003
4167|44|1974
6621|25|1971
8327|9|1998
7575|39|1984
9571|59|2001
9369|15|1989
6514|57|1997
9565|24|1978
8009|24|1966
8642|7|1999
9517|12|1961
8554|3|1992
7258|55|1964
8798|51|1978
6343|47|1962
5768|47|1991
2511|54|1962
7688|18|2003
5657|6|1972
1251|41|1984
8126|18|1994
6819|0|1971
2651|20|1972
9723|53|1992
1911|27|1994
2776|11|1992
6465|22|1989
2854|7|1998
8285|58|1965
9236|5|1994
9241|24|1978
9036|30|1995
7503|49|1979
8102|30|1962
8088|6|1972
8392|25|1987
3026|35|1984
8313|7|2001
8384|3|1961
8856|30|1970
5375|25|2003
9370|53|1961
9370|48|1988
7105|55|1984
6272|34|1989
7919|6|1996
4630|60|1985
3666|14|1985
2122|7|1965
9374|2|1970
7819|32|1981
9287|28|1994
1744|11|1985
7286|12|2003
4883|27|1971
8081|43|1976
9292|30|2000
6055|34|1967
761|61|1969
6798|3|2005
9071|28|1974
7272|7|1968
4153|14|1967
8777|7|1962
2261|29|1980
9247|27|1965
7104|4|1961
5981|62|2001
9375|53|1990
9378|11|2007
9521|41|1980
1424|42|1969
8310|20|2001
3141|10|1962
136|12|1991
8022|53|1996
9646|39|1961
9693|19|1997
7940|4|2001
7506|37|1992
8051|28|1977
6804|17|1983
4399|29|2004
3386|15|1968
740|59|1983
6361|33|1962
3403|62|1996
9091|3|1969
4025|29|1965
9244|4|1973
3714|15|1999
6316|20|1982
3005|0|1982
8363|28|1988
7534|22|1964
6505|39|1986
5331|53|1982
7701|51|1994
1673|61|1968
6572|18|2005
4689|42|1980
9392|22|1987
8463|20|1963
992|48|2004
5585|47|1963
8870|7|1988
4122|27|1999
3881|12|1999
9092|25|2002
3920|24|1984
9909|8|1966
5687|39|1989
9370|10|2002
2906|1|1968
5887|33|1965
6823|9|1995
9396|31|1960
5480|37|1982
9290|35|2000
7833|46|1999
7835|4|1971
8130|4|1973
4925|4|1997
9397|21|1974
2754|30|2003
8602|40|1965
9079|27|1974
8744|54|1970
5268|24|1968
7129|8|1973
7786|39|1978
8355|40|1971
1266|41|1997
5140|41|2003
1781|7|1977
4956|44|1965
9345|44|1961
1374|21|1975
8679|12|1960
4442|62|1987
2976|59|1994
3373|31|1971
6647|15|1963
7187|13|2007
92|56|1965
4825|24|2002
9405|34|1987
8086|31|1966
9288|50|1968
8287|44|2007
6359|4|1985
5800|21|1968
6559|44|2007
9348|4|1977
8059|31|1981
8545|43|2005
9884|45|2000
1111|39|1975
8017|16|1984
8002|46|2004
9314|5|1979
9533|1|2003
8222|6|1969
7531|31|1965
4064|13|2005
2101|2|2006
3473|33|1974
4148|5|1961
6653|58|1969
8308|45|1961
9436|58|1973
433|9|1991
6987|20|1973
7335|40|1982
7787|3|2004
7686|42|1995
9272|28|1977
6980|32|2001
9010|53|2003
9013|14|1995
7180|31|1982
9405|27|1964
5368|59|1973
9313|9|1993
9129|21|1980
1947|21|1981
2353|12|1976
7437|9|1962
8685|49|1991
1487|55|1989
6841|7|1964
9413|6|1962
6667|58|2004
7595|26|2006
1987|25|1989
4723|53|1998
7585|61|1995
5412|28|1991
658|28|1989
4429|36|1991
8893|49|1963
7706|28|1995
7200|54|2001
4766|34|1997
9413|4|2003
6330|16|2001
8766|21|1994
9837|48|1962
6697|2|1964
4629|23|1977
6960|30|1987
6696|9|1986
6803|13|1992
6897|52|1976
8067|15|1967
8538|19|2000
7891|50|1985
5575|30|1985
9421|43|2007
7661|52|2001
9395|18|1979
6272|47|1973
5697|29|1979
3590|35|2004
6701|39|2001
8035|26|1967
3869|13|1984
9425|48|1976
9121|47|2002
8678|20|1976
6747|7|1982
7246|2|1990
2106|31|1962
6326|0|1995
9211|20|2003
5209|42|1992
8589|62|2006
9430|50|1987
6618|15|1999
9867|46|1980
3762|33|1998
240|52|1973
9431|15|1995
7419|27|1988
7181|43|1995
8590|62|1997
6124|14|1997
9273|61|1961
9433|8|2004
